Redewendung	sort_order	id	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	link
alle Trümpfe in Händen halten	40	40	alle Trümpfe in Händen + HALTEN	Trümpfe in Händen + HALTEN	0	0 -> 0	0	0 -> 0	0	0 -> 0	0	0 -> 0			0	https://de.wiktionary.org/wiki/alle_Tr%C3%BCmpfe_in_H%C3%A4nden_halten
alle viere von sich strecken	41	41	alle viere + von SICHD + streck		0	0 -> 0 -> 0	1	3 -> 1 -> 1							0	https://de.wiktionary.org/wiki/alle_viere_von_sich_strecken
allein auf weiter Flur	42	42	allein auf weiter Flur		18	18	18	18							18	https://de.wiktionary.org/wiki/allein_auf_weiter_Flur
allen Ernstes	43	43	allen Ernstes		33	33	38	38							33	https://de.wiktionary.org/wiki/allen_Ernstes
aller Ehren wert sein	44	44	aller Ehren wert + SEIN		13	13 -> 13	13	13 -> 13							13	https://de.wiktionary.org/wiki/aller_Ehren_wert_sein
allererste Sahne sein	45	45	allereste Sahne + SEIN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/allererste_Sahne_sein
alles auf eine Karte setzen	46	46	alles auf eine Karte + SETZEN		23	66 -> 23	66	66 -> 66							23	https://de.wiktionary.org/wiki/alles_auf_eine_Karte_setzen
alles beim Alten lassen	47	47	alles beim Alten + LASSEN		0	53 -> 0	0	60 -> 0							0	https://de.wiktionary.org/wiki/alles_beim_Alten_lassen
alles durch die rosarote Brille sehen	48	48	alle(s)? + durch die rosarote Brille + SEHEN		1	69557 -> 1 -> 1	1	69627 -> 1 -> 1							1	https://de.wiktionary.org/wiki/alles_durch_die_rosarote_Brille_sehen
alles fit im Schritt	49	49	alles fit im Schritt		0	0	0	0							0	https://de.wiktionary.org/wiki/alles_fit_im_Schritt
alles gut	50	50	alles gut + MANUAL_REVIEW		297	297 -> 297	297	297 -> 297							297	https://de.wiktionary.org/wiki/alles_gut
alles hat ein Ende, nur die Wurst hat zwei	51	51	alles hat ein Ende + Wurst		2	2 -> 2	2	2 -> 2							2	https://de.wiktionary.org/wiki/alles_hat_ein_Ende%2C_nur_die_Wurst_hat_zwei
alles im grünen Bereich sein	52	52	im grünen Bereich		36	36	37	37							36	https://de.wiktionary.org/wiki/alles_im_gr%C3%BCnen_Bereich_sein
alles in Butter	53	53	alles in Butter		7	7	7	7							7	https://de.wiktionary.org/wiki/alles_in_Butter
alles in einen Topf werfen	54	54	in einen Topf + WERFEN	alle(s)? + in einen Topf + WERFEN	35	69 -> 35	35	69 -> 35	9	69557 -> 17 -> 9	9	69627 -> 17 -> 9			35	https://de.wiktionary.org/wiki/alles_in_einen_Topf_werfen
alles in schwarzen Farben malen	55	55	alles in schwarzen Farben + MALEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/alles_in_schwarzen_Farben_malen
alles paletti	56	56	alles paletti		3	3	3	3							3	https://de.wiktionary.org/wiki/alles_paletti
alles über einen Kamm scheren	57	57	über einen Kamm + scher	alle(s) + über einen Kamm + scher	23	25 -> 23	23	25 -> 23	3	21148 -> 3 -> 3	3	21170 -> 3 -> 3			23	https://de.wiktionary.org/wiki/alles_%C3%BCber_einen_Kamm_scheren
alles, was Beine hat	58	58	alles, was Beine hat		0	0	0	0							0	https://de.wiktionary.org/wiki/alles%2C_was_Beine_hat
allez hopp	59	59	allez hopp		0	0	0	0							0	https://de.wiktionary.org/wiki/allez_hopp
als ob	60	60	als ob		559	559	568	568							559	https://de.wiktionary.org/wiki/als_ob
als Tiger springen und als Bettvorleger landen	61	61	als Tiger + als Bettvorleger		1	5 -> 1	1	5 -> 1							1	https://de.wiktionary.org/wiki/als_Tiger_springen_und_als_Bettvorleger_landen
alt aussehen	62	62	alt + \baus(\b|s|z|g) + _SEHEN + MANUAL_REVIEW		87	5384 -> 419 -> 87 -> 87	99	5389 -> 472 -> 99 -> 99							87	https://de.wiktionary.org/wiki/alt_aussehen
alte Zöpfe abschneiden	63	63	alte Zöpfe + \bab(\b|s|z|g) + _SCHNEIDEN		3	4 -> 4 -> 3	3	4 -> 4 -> 3							3	https://de.wiktionary.org/wiki/alte_Z%C3%B6pfe_abschneiden
Alter vor Schönheit	64	64	Alter vor Schönheit		0	0	0	0							0	https://de.wiktionary.org/wiki/Alter_vor_Sch%C3%B6nheit
alter Wein in neuen Schläuchen	65	65	alter Wein + neuen Schläuchen		4	5 -> 4	4	5 -> 4							4	https://de.wiktionary.org/wiki/alter_Wein_in_neuen_Schl%C3%A4uchen
am Abend wird der Faule fleißig	66	66	am Abend + der Faule + fleißig + WERDEN		0	2084 -> 0 -> 0 -> 0	0	2085 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/am_Abend_wird_der_Faule_flei%C3%9Fig
am Arsch	67	67	am Arsch		20	20	20	20							20	https://de.wiktionary.org/wiki/am_Arsch
am Arsch der Welt	68	68	am Arsch der Welt		3	3	3	3							3	https://de.wiktionary.org/wiki/am_Arsch_der_Welt
am Ball bleiben	69	69	am Ball + BLEIBEN		45	226 -> 45	46	226 -> 46							45	https://de.wiktionary.org/wiki/am_Ball_bleiben
am Boden sein	70	70	am Boden + SEIN		276	986 -> 276	279	987 -> 279							276	https://de.wiktionary.org/wiki/am_Boden_sein
am Boden zerstört sein	71	71	am Boden zerstört + SEIN		54	60 -> 54	54	60 -> 54							54	https://de.wiktionary.org/wiki/am_Boden_zerst%C3%B6rt_sein
am dransten sein	72	72	am dransten		0	0	0	0							0	https://de.wiktionary.org/wiki/am_dransten_sein
am Drücker sein	73	73	am Drücker + SEIN		35	62 -> 35	36	63 -> 36							35	https://de.wiktionary.org/wiki/am_Dr%C3%BCcker_sein
am Ende des Tages	74	74	am Ende des Tages + MANUAL_REVIEW		123	123 -> 123	123	123 -> 123							123	https://de.wiktionary.org/wiki/am_Ende_des_Tages
am Hungertuch nagen	75	75	am Hungertuch + NAGEN		7	9 -> 7	8	9 -> 8							7	https://de.wiktionary.org/wiki/am_Hungertuch_nagen
am langen Arm verhungern lassen	76	76	am langen Arm + verhungern + LASSEN		0	1 -> 1 -> 0	0	1 -> 1 -> 0							0	https://de.wiktionary.org/wiki/am_langen_Arm_verhungern_lassen
am längeren Hebel sitzen	77	77	am längeren Heben + SITZEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/am_l%C3%A4ngeren_Hebel_sitzen
am Rad drehen	78	78	am Rad + dreh		9	25 -> 9	9	25 -> 9							9	https://de.wiktionary.org/wiki/am_Rad_drehen
am Sankt-Nimmerleins-Tag	79	79	am Sankt-Nimmerleins-Tag		0	0	0	0							0	https://de.wiktionary.org/wiki/am_Sankt-Nimmerleins-Tag
an allen Ecken und Enden	80	80	an allen Ecken und Enden		54	54	55	55							54	https://de.wiktionary.org/wiki/an_allen_Ecken_und_Enden
an allen Ecken und Kanten	81	81	an allen Ecken und Kanten		1	1	1	1							1	https://de.wiktionary.org/wiki/an_allen_Ecken_und_Kanten
an der Matratze horchen	82	82	an der Matratze + horch		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/an_der_Matratze_horchen
an der Nadel hängen	83	83	an der Nädel + HÄNGENHING		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/an_der_Nadel_h%C3%A4ngen
an der Scholle hängen	84	84	an der Scholle + HÄNGENHING		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/an_der_Scholle_h%C3%A4ngen
an der Scholle kleben	85	85	an der Scholle + kleb		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/an_der_Scholle_kleben
an der Tagesordnung sein	86	86	an der Tagesordnung + MANUAL_REVIEW		136	136 -> 136	136	136 -> 136							136	https://de.wiktionary.org/wiki/an_der_Tagesordnung_sein
an die Decke gehen	87	87	an die Decke + GEHEN		6	20 -> 6	6	20 -> 6							6	https://de.wiktionary.org/wiki/an_die_Decke_gehen
an die Hand geben	88	88	an die Hand + GEBEN		55	110 -> 55	56	110 -> 56							55	https://de.wiktionary.org/wiki/an_die_Hand_geben
an einem seidenen Faden hängen	89	89	an einem seidenen Faden + häng		3	5 -> 3	3	5 -> 3							3	https://de.wiktionary.org/wiki/an_einem_seidenen_Faden_h%C3%A4ngen
an einem Strang ziehen	90	90	an einem Strang + ZIEHEN	am gleichen Strang + ZIEHEN	111	115 -> 111	113	115 -> 113	4	4 -> 4	4	4 -> 4			111	https://de.wiktionary.org/wiki/an_einem_Strang_ziehen
an etwas keinen Kopf und keinen Arsch finden	91	91	an + keinen Kopf und keinen Arsch + FINDEN		0	455087 -> 0 -> 0	0	455226 -> 0 -> 0							0	https://de.wiktionary.org/wiki/an_etwas_keinen_Kopf_und_keinen_Arsch_finden
an jemandes Händen klebt Blut	92	92	Händen + klebt + Blut		1	1502 -> 4 -> 1	1	1502 -> 4 -> 1							1	https://de.wiktionary.org/wiki/an_jemandes_H%C3%A4nden_klebt_Blut
an jemandes Stuhl sägen	93	93	(an (seinem|ihrem|meinem|unsererm)|am) Stuhl + säg		4	10 -> 4	4	10 -> 4							4	https://de.wiktionary.org/wiki/an_jemandes_Stuhl_s%C3%A4gen
an sich halten	94	94	an SICHB + HALTEN		34	1803 -> 34	41	1817 -> 41							34	https://de.wiktionary.org/wiki/an_sich_halten
