Redewendung	sort_order	id	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	link
doppelt gemoppelt hält besser	690	690	doppelt gemoppelt hält besser		0	0	0	0							0	https://de.wiktionary.org/wiki/doppelt_gemoppelt_h%C3%A4lt_besser
doppelt genäht hält besser	691	691	doppelt + besser + genäht + HALTEN		0	1474 -> 7 -> 0 -> 0	0	1474 -> 7 -> 0 -> 0							0	https://de.wiktionary.org/wiki/doppelt_gen%C3%A4ht_h%C3%A4lt_besser
doppelt hält besser	692	692	doppelt + besser + HALTEN		3	1474 -> 7 -> 3	3	1474 -> 7 -> 3							3	https://de.wiktionary.org/wiki/doppelt_h%C3%A4lt_besser
dos à dos	693	693	dos à dos		0	0	0	0							0	https://de.wiktionary.org/wiki/dos_%C3%A0_dos
Dreck am Stecken haben	694	694	Dreck am Stecken		10	10	10	10							10	https://de.wiktionary.org/wiki/Dreck_am_Stecken_haben
Dreh- und Angelpunkt	695	695	Dreh-? + und Angelpunkt		45	281 -> 45	45	289 -> 45							45	https://de.wiktionary.org/wiki/Dreh-_und_Angelpunkt
drei Kreuze machen	696	696	drei Kreuze + MACHEN		1	5 -> 1	1	5 -> 1							1	https://de.wiktionary.org/wiki/drei_Kreuze_machen
dreimal umgezogen ist einmal abgebrannt	697	697	dreimal umgezogen + einmal abgebrannt		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/dreimal_umgezogen_ist_einmal_abgebrannt
Druck auf der Nille haben	698	698	Druck auf der Nille + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/Druck_auf_der_Nille_haben
Druck ausüben	699	699	Druck + \baus(\b|ü|z|g) + AUSÜBEN		224	6624 -> 779 -> 224	226	6636 -> 841 -> 226							224	https://de.wiktionary.org/wiki/Druck_aus%C3%BCben
drunter und drüber	700	700	drunter und drüber		17	17	20	20							17	https://de.wiktionary.org/wiki/drunter_und_dr%C3%BCber
dumm wie Bohnenstroh	701	701	wie Bohnenstroh		0	0	0	0							0	https://de.wiktionary.org/wiki/dumm_wie_Bohnenstroh
dumm wie Brot	702	702	dumm wie Brot		4	4	4	4							4	https://de.wiktionary.org/wiki/dumm_wie_Brot
dumm wie hundert Meter Feldweg sein	703	703	dumm wie hundert Meter Feldweg		0	0	0	0							0	https://de.wiktionary.org/wiki/dumm_wie_hundert_Meter_Feldweg_sein
durch Abwesenheit glänzen	704	704	durch Abwesenheit + glänz		11	11 -> 11	11	11 -> 11							11	https://de.wiktionary.org/wiki/durch_Abwesenheit_gl%C3%A4nzen
durch den Kakao ziehen	705	705	durch den Kakao + ZIEHEN		13	14 -> 13	13	14 -> 13							13	https://de.wiktionary.org/wiki/durch_den_Kakao_ziehen
durch den Tüdel kommen	706	706	durch den Tüdel + KOMMEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/durch_den_T%C3%BCdel_kommen
durch die rosarote Brille sehen	707	707	durch die rosarote Brille + SEHEN		2	3 -> 2	2	3 -> 2							2	https://de.wiktionary.org/wiki/durch_die_rosarote_Brille_sehen
durch Mark und Bein gehen	708	708	durch Mark und Bein		4	4	4	4							4	https://de.wiktionary.org/wiki/durch_Mark_und_Bein_gehen
durch und durch	709	709	durch und durch		121	121	121	121							121	https://de.wiktionary.org/wiki/durch_und_durch
Däumchen drehen	710	710	Däumchen + dreh		6	7 -> 6	7	8 -> 7							6	https://de.wiktionary.org/wiki/D%C3%A4umchen_drehen
dümmer sein, als die Polizei erlaubt	711	711	dümmer + SEIN + als die Polizei erlaubt\w*		1	46 -> 14 -> 1	1	47 -> 14 -> 1							1	https://de.wiktionary.org/wiki/d%C3%BCmmer_sein%2C_als_die_Polizei_erlaubt
Ei des Columbus	712	712	Ei des Columbus		1	1	1	1							1	https://de.wiktionary.org/wiki/Ei_des_Columbus
Ei des Kolumbus	713	713	Ei des Kolumbus		2	2	2	2							2	https://de.wiktionary.org/wiki/Ei_des_Kolumbus
eierlegende Wollmilchsau	714	714	eierlegende Wollmilchsau		6	6	6	6							6	https://de.wiktionary.org/wiki/eierlegende_Wollmilchsau
Eierstöcke in der Hose haben	715	715	Eierstöcke in der Hose + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/Eierst%C3%B6cke_in_der_Hose_haben
eigene vier Wände	716	716	eigene vier Wände		2	2	2	2							2	https://de.wiktionary.org/wiki/eigene_vier_W%C3%A4nde
ein Aas auf der Bassgeige sein	717	717	ein Aas + auf der Bassgeige + SEIN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/ein_Aas_auf_der_Bassgeige_sein
ein abgebrochener Gartenzwerg	718	718	ein abgebrochener Gartenzwerg	abgebrochene\w* Gartenzwergs?	0	0	0	0	0	0	0	0			0	https://de.wiktionary.org/wiki/ein_abgebrochener_Gartenzwerg
ein abgebrochener Riese	719	719	ein abgebrochener Riese	abgebrochene\w* Riese	0	0	0	0	0	0	0	0			0	https://de.wiktionary.org/wiki/ein_abgebrochener_Riese
ein alter Hase sein	720	720	ein alter Hase + SEIN		6	10 -> 6	6	10 -> 6							6	https://de.wiktionary.org/wiki/ein_alter_Hase_sein
ein alter Hut sein	721	721	ein alter Hut + SEIN		15	19 -> 15	16	20 -> 16							15	https://de.wiktionary.org/wiki/ein_alter_Hut_sein
ein alter Zopf sein	722	722	ein alter Zopf + SEIN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/ein_alter_Zopf_sein
ein armes Schwein sein	723	723	ein armes Schwein + SEIN		2	2 -> 2	2	2 -> 2							2	https://de.wiktionary.org/wiki/ein_armes_Schwein_sein
ein Ass auf der Bassgeige sein	724	724	ein Ass auf der Bassgeige		0	0	0	0							0	https://de.wiktionary.org/wiki/ein_Ass_auf_der_Bassgeige_sein
ein Auge auf etwas werfen	725	725	ein Auge auf + WERFEN		59	91 -> 59	59	91 -> 59							59	https://de.wiktionary.org/wiki/ein_Auge_auf_etwas_werfen
ein Auge riskieren	726	726	ein Auge + riskier		0	195 -> 0	0	196 -> 0							0	https://de.wiktionary.org/wiki/ein_Auge_riskieren
ein Auge zudrücken	727	727	ein Auge + \bzu(\b|d|z|g) + drück		29	195 -> 53 -> 29	29	196 -> 54 -> 29							29	https://de.wiktionary.org/wiki/ein_Auge_zudr%C3%BCcken
ein Bad nehmen	728	728	ein Bad + NEHMEN		23	63 -> 23	23	63 -> 23							23	https://de.wiktionary.org/wiki/ein_Bad_nehmen
ein Brett vor dem Kopf haben	729	729	ein Brett vor dem Kopf + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/ein_Brett_vor_dem_Kopf_haben
ein düsteres Bild zeichnen	730	730	ein düsteres Bild + zeichn		17	26 -> 17	17	26 -> 17							17	https://de.wiktionary.org/wiki/ein_d%C3%BCsteres_Bild_zeichnen
ein Ei legen	731	731	ein Ei + LEGEN		10	44 -> 10	10	44 -> 10					5	Certainly <10, but some there is not enough context to tell if actual egg vs 'ein Kot'.	5	https://de.wiktionary.org/wiki/ein_Ei_legen
ein Einsehen haben	732	732	ein Einsehen + HABEN		20	22 -> 20	20	22 -> 20							20	https://de.wiktionary.org/wiki/ein_Einsehen_haben
ein Esel in der Löwenhaut	733	733	ein Esel in der Löwenhaut	Esel in der Löwenhaut	0	0	0	0	0	0	0	0			0	https://de.wiktionary.org/wiki/ein_Esel_in_der_L%C3%B6wenhaut
ein Exempel statuieren	734	734	ein Exempel + statuier		36	39 -> 36	36	39 -> 36							36	https://de.wiktionary.org/wiki/ein_Exempel_statuieren
ein falscher Fuffziger	735	735	ein falscher Fuffziger	falscher Fuffziger	0	0	0	0	0	0	0	0			0	https://de.wiktionary.org/wiki/ein_falscher_Fuffziger
ein falsches Spiel spielen	736	736	ein falsches Spiel + spiel		8	11 -> 8	11	11 -> 11							8	https://de.wiktionary.org/wiki/ein_falsches_Spiel_spielen
ein falsches Spiel treiben	737	737	ein falsches Spiel + TREIBEN		1	11 -> 1	1	11 -> 1							1	https://de.wiktionary.org/wiki/ein_falsches_Spiel_treiben
ein Fass aufmachen	738	738	ein Fass + \bauf(\b|m|z|g) + _MACHEN		8	133 -> 52 -> 8	8	133 -> 52 -> 8							8	https://de.wiktionary.org/wiki/ein_Fass_aufmachen
ein Fass ohne Boden sein	739	739	ein Fass ohne Boden + SEIN		13	18 -> 13	14	18 -> 14							13	https://de.wiktionary.org/wiki/ein_Fass_ohne_Boden_sein
ein Fingerhut	740	740	ein\w* Fingerhut		5	5	5	5							5	https://de.wiktionary.org/wiki/ein_Fingerhut
ein frühes Grab finden	741	741	ein frühes Grab + FINDEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/ein_fr%C3%BChes_Grab_finden
ein für alle Mal	742	742	ein für alle Mal		46	46	49	49							46	https://de.wiktionary.org/wiki/ein_f%C3%BCr_alle_Mal
ein für alle Mal aus der Welt schaffen	743	743	für alle Mal + aus der Welt + schaff		0	46 -> 0 -> 0	0	49 -> 0 -> 0							0	https://de.wiktionary.org/wiki/ein_f%C3%BCr_alle_Mal_aus_der_Welt_schaffen
ein Gedächtnis wie ein Sieb haben	744	744	ein Gedächtnis wie ein Sieb + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/ein_Ged%C3%A4chtnis_wie_ein_Sieb_haben
ein Gemüt wie ein Fleischerhund haben	745	745	ein Gemüt wie ein Fleischerhund + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/ein_Gem%C3%BCt_wie_ein_Fleischerhund_haben
ein gerüttelt Maß	746	746	ein gerüttelt Maß	\bgerüttelt\w* Maß	4	4	4	4	4	4	4	4			4	https://de.wiktionary.org/wiki/ein_ger%C3%BCttelt_Ma%C3%9F
ein Gruß aus der Küche	747	747	ein\w* Gruß aus der Küche	ein Gruß aus der Küche	0	0	0	0	0	0	0	0			0	https://de.wiktionary.org/wiki/ein_Gru%C3%9F_aus_der_K%C3%BCche
ein Haar in der Suppe finden	748	748	Haar in der Suppe + FINDEN		9	13 -> 9	9	13 -> 9							9	https://de.wiktionary.org/wiki/ein_Haar_in_der_Suppe_finden
ein Haus machen	749	749	ein Haus + MACHEN + MANUAL_REVIEW		8	515 -> 8 -> 8	8	515 -> 8 -> 8					1		1	https://de.wiktionary.org/wiki/ein_Haus_machen
ein heißes Eisen	750	750	ein\w* heiße\w* Eisen	heiße\w* Eisen	7	7	7	7	24	24	24	24			7	https://de.wiktionary.org/wiki/ein_hei%C3%9Fes_Eisen
ein heißes Eisen anfassen	751	751	heiß + Eisen + \ban(\b|f|z|g) + fass		0	990 -> 4 -> 0 -> 0	0	990 -> 4 -> 0 -> 0							0	https://de.wiktionary.org/wiki/ein_hei%C3%9Fes_Eisen_anfassen
ein Herz fassen	752	752	ein Herz + fass		29	168 -> 29	29	169 -> 29							29	https://de.wiktionary.org/wiki/ein_Herz_fassen
ein Herz und eine Seele sein	753	753	ein Herz und eine Seele + SEIN		7	14 -> 7	8	14 -> 8							7	https://de.wiktionary.org/wiki/ein_Herz_und_eine_Seele_sein
ein Hintertürchen offenhalten	754	754	ein Hintertürchen + \boffen(\b|h|z|g) + _HALTEN		2	7 -> 4 -> 2	2	7 -> 4 -> 2							2	https://de.wiktionary.org/wiki/ein_Hintert%C3%BCrchen_offenhalten
ein Hirn wie ein Nudelsieb haben	755	755	ein Hirn + wie ein Nudelsieb + HABEN		0	2 -> 0 -> 0	0	2 -> 0 -> 0							0	https://de.wiktionary.org/wiki/ein_Hirn_wie_ein_Nudelsieb_haben
ein Händchen für etwas haben	756	756	ein glückliches Händchen + HABEN		6	17 -> 6	6	17 -> 6							6	https://de.wiktionary.org/wiki/ein_H%C3%A4ndchen_f%C3%BCr_etwas_haben
ein Kind des Todes sein	757	757	ein\w* Kind des Todes	Kind des Todes	0	0	0	0	0	0	0	0			0	https://de.wiktionary.org/wiki/ein_Kind_des_Todes_sein
ein klein wenig	758	758	ein klein wenig		42	42	42	42							42	https://de.wiktionary.org/wiki/ein_klein_wenig
ein Königreich für ein …	759	759	ein Königreich für ein		2	2	2	2							2	https://de.wiktionary.org/wiki/ein_K%C3%B6nigreich_f%C3%BCr_ein_%E2%80%A6
ein Machtwort sprechen	760	760	ein Machtwort + SPRECHEN		24	37 -> 24	25	37 -> 25							24	https://de.wiktionary.org/wiki/ein_Machtwort_sprechen
ein Mann von Welt	761	761	Mann von Welt	ein Mann von Welt	6	6	6	6	2	2	2	2			6	https://de.wiktionary.org/wiki/ein_Mann_von_Welt
ein Mann, ein Wort	762	762	ein Mann, ein Wort		2	2	2	2							2	https://de.wiktionary.org/wiki/ein_Mann%2C_ein_Wort
ein paar Zerquetschte	763	763	ein paar Zerquetschte		0	0	0	0							0	https://de.wiktionary.org/wiki/ein_paar_Zerquetschte
ein Prediger in der Wüste	764	764	Prediger + in der Wüste		1	210 -> 1	1	210 -> 1							1	https://de.wiktionary.org/wiki/ein_Prediger_in_der_W%C3%BCste
ein Rad abhaben	765	765	ein Rad + \bab(\b|h|z|g) + _HABEN		2	53 -> 6 -> 2	2	54 -> 6 -> 2							2	https://de.wiktionary.org/wiki/ein_Rad_abhaben
ein Raub der Flammen werden	766	766	ein Raub der Flammen + WERDEN		29	29 -> 29	29	29 -> 29							29	https://de.wiktionary.org/wiki/ein_Raub_der_Flammen_werden
ein Ritt über den Bodensee	767	767	ein Ritt über den Bodensee	Ritt + über den Bodensee	0	0	0	0	0	101 -> 0	0	155 -> 0			0	https://de.wiktionary.org/wiki/ein_Ritt_%C3%BCber_den_Bodensee
ein Rohr verlegen	768	768	ein Rohr + \bverleg		1	15 -> 1	1	15 -> 1							1	https://de.wiktionary.org/wiki/ein_Rohr_verlegen
ein rosiges Bild zeichnen	769	769	ein rosiges Bild + zeichn		0	1 -> 0	0	1 -> 0							0	https://de.wiktionary.org/wiki/ein_rosiges_Bild_zeichnen
ein Rufer in der Wüste	770	770	Rufer + in der Wüste		6	23 -> 6	6	23 -> 6							6	https://de.wiktionary.org/wiki/ein_Rufer_in_der_W%C3%BCste
ein Schelm, wer Böses dabei denkt	771	771	ein Schelm + Böses + dabei + DENKEN		5	22 -> 5 -> 5 -> 5	8	22 -> 10 -> 8 -> 8							5	https://de.wiktionary.org/wiki/ein_Schelm%2C_wer_B%C3%B6ses_dabei_denkt
ein Schnittlauch auf allen Suppen sein	772	772	ein Schnittlauch + auf allen Suppen + SEIN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/ein_Schnittlauch_auf_allen_Suppen_sein
ein Schuss in den Ofen	773	773	ein Schuss + in den Ofen	Schuss + in den Ofen	4	140 -> 4	4	140 -> 4	5	1602 -> 5	5	1605 -> 5			4	https://de.wiktionary.org/wiki/ein_Schuss_in_den_Ofen
ein schöner Zug von jemandem sein	774	774	ein schöner Zug (da)?von + SEIN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/ein_sch%C3%B6ner_Zug_von_jemandem_sein
ein Silberstreifen am Horizont	775	775	ein Silberstreifen am Horizont	Silberstreifen + am Horizont	0	0	0	0	6	7 -> 6	6	7 -> 6			0	https://de.wiktionary.org/wiki/ein_Silberstreifen_am_Horizont
ein Spiel mit dem Feuer	776	776	Spiel + mit dem Feuer	ein Spiel + mit dem Feuer	24	18118 -> 24	24	18161 -> 24	10	820 -> 10	10	821 -> 10			24	https://de.wiktionary.org/wiki/ein_Spiel_mit_dem_Feuer
ein Tropfen auf den heißen Stein	777	777	Tropfen + auf + heißen Stein	ein\w* Tropfen + auf + heißen Stein	62	396 -> 119 -> 62	62	416 -> 127 -> 62	46	95 -> 58 -> 46	46	95 -> 58 -> 46			62	https://de.wiktionary.org/wiki/ein_Tropfen_auf_den_hei%C3%9Fen_Stein
ein und aus gehen	778	778	ein und aus + GEHEN		33	40 -> 33	33	40 -> 33							33	https://de.wiktionary.org/wiki/ein_und_aus_gehen
ein Unding sein	779	779	ein Unding + SEIN		24	40 -> 24	24	40 -> 24							24	https://de.wiktionary.org/wiki/ein_Unding_sein
ein wandelndes Lexikon sein	780	780	ein wandelndes Lexikon + SEIN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/ein_wandelndes_Lexikon_sein
ein wenig	781	781	ein wenig		2261	2261	2263	2263							2261	https://de.wiktionary.org/wiki/ein_wenig
ein Wetter zum Eierlegen	782	782	Wetter zum Eierlegen		0	0	0	0							0	https://de.wiktionary.org/wiki/ein_Wetter_zum_Eierlegen
einander die Bälle zuspielen	783	783	die Bälle + \bzu(\b|s|z|g) + spiel		6	86 -> 14 -> 6	7	86 -> 18 -> 7							6	https://de.wiktionary.org/wiki/einander_die_B%C3%A4lle_zuspielen
einander nichts schenken	784	784	einander + nichts + schenk		0	784 -> 3 -> 0	0	784 -> 3 -> 0							0	https://de.wiktionary.org/wiki/einander_nichts_schenken
eine Aktie zeichnen	785	785	eine Akite + zeichn		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/eine_Aktie_zeichnen
eine andere Sprache sprechen	786	786	eine andere Sprache + SPRECHEN		35	45 -> 35	45	45 -> 45							35	https://de.wiktionary.org/wiki/eine_andere_Sprache_sprechen
eine Anleihe zeichnen	787	787	eine Anleihe + zeichn		1	23 -> 1	1	23 -> 1							1	https://de.wiktionary.org/wiki/eine_Anleihe_zeichnen
eine Bauchlandung machen	788	788	eine Bauchlandung + MACHEN		0	3 -> 0	0	3 -> 0							0	https://de.wiktionary.org/wiki/eine_Bauchlandung_machen
eine bittere Pille schlucken müssen	789	789	eine bittere Pille + schluck	eine bittere Pille + schlucken + MÜSSEN	2	8 -> 2	2	8 -> 2	1	8 -> 2 -> 1	1	8 -> 2 -> 1			2	https://de.wiktionary.org/wiki/eine_bittere_Pille_schlucken_m%C3%BCssen
eine deutliche Sprache sprechen	790	790	eine deutliche Sprache + SPRECHEN	eine klare Sprache + SPRECHEN	50	51 -> 50	51	51 -> 51	22	30 -> 22	30	30 -> 30			50	https://de.wiktionary.org/wiki/eine_deutliche_Sprache_sprechen
eine dicke Lippe riskieren	791	791	eine dicke Lippe + riskier		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/eine_dicke_Lippe_riskieren
eine Doktorarbeit aus etwas machen	792	792	eine Doktorarbeit aus + MACHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/eine_Doktorarbeit_aus_etwas_machen
eine Frau von Welt	793	793	Frau von Welt	eine Frau von Welt	0	0	0	0	0	0	0	0			0	https://de.wiktionary.org/wiki/eine_Frau_von_Welt
eine gute Figur machen	794	794	eine gute Figur + MACHEN		53	62 -> 53	53	62 -> 53							53	https://de.wiktionary.org/wiki/eine_gute_Figur_machen
eine halbe Portion	795	795	eine halbe Portion+ MANUAL_REVIEW	halbe\w* Portion + MANUAL_REVIEW	1	1 -> 1	1	1 -> 1	1	1 -> 1	1	1 -> 1			1	https://de.wiktionary.org/wiki/eine_halbe_Portion
eine harte Nuss zu knacken haben	796	796	eine harte Nuss zu knacken		1	1	1	1							1	https://de.wiktionary.org/wiki/eine_harte_Nuss_zu_knacken_haben
eine heilige Kuh schlachten	797	797	heilige Kuh + schlacht		2	7 -> 2	2	7 -> 2							2	https://de.wiktionary.org/wiki/eine_heilige_Kuh_schlachten
eine Lage schmeißen	798	798	eine Lage + SCHMEIẞEN		0	34 -> 0	0	34 -> 0							0	https://de.wiktionary.org/wiki/eine_Lage_schmei%C3%9Fen
eine lange Leitung haben	799	799	eine lange Leitung + HABEN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/eine_lange_Leitung_haben
eine Lanze brechen	800	800	eine Lanze + BRECHEN		39	43 -> 39	39	43 -> 39							39	https://de.wiktionary.org/wiki/eine_Lanze_brechen
eine Leiche im Keller haben	801	801	eine Leiche + im Keller + MANUAL_REVIEW		2	112 -> 2 -> 2	2	112 -> 2 -> 2							2	https://de.wiktionary.org/wiki/eine_Leiche_im_Keller_haben
eine Meise haben	802	802	eine Meise + HABEN		0	1 -> 0	0	1 -> 0							0	https://de.wiktionary.org/wiki/eine_Meise_haben
eine Mütze Schlaf	803	803	Mütze Schlaf	eine Mütze Schlaf	2	2	2	2	0	0	0	0			2	https://de.wiktionary.org/wiki/eine_M%C3%BCtze_Schlaf
eine Nacht darüber schlafen	804	804	eine Nacht d(a)?rüber + SCHLAFEN		5	5 -> 5	5	5 -> 5							5	https://de.wiktionary.org/wiki/eine_Nacht_dar%C3%BCber_schlafen
eine Nadel fallen hören können	805	805	eine Nadel + fallen hören + KÖNNEN		0	16 -> 0 -> 0	0	16 -> 0 -> 0							0	https://de.wiktionary.org/wiki/eine_Nadel_fallen_h%C3%B6ren_k%C3%B6nnen
eine Party schmeißen	806	806	eine Party + SCHMEIẞEN		5	120 -> 5	5	120 -> 5							5	https://de.wiktionary.org/wiki/eine_Party_schmei%C3%9Fen
eine rauchen	807	807	eine + RAUCHEN + MANUAL_REVIEW		100	353413 -> 100 -> 100	549	353427 -> 549 -> 549					6		6	https://de.wiktionary.org/wiki/eine_rauchen
eine Rolle spielen	808	808	eine Rolle + spiel		1340	1474 -> 1340	1359	1474 -> 1359							1340	https://de.wiktionary.org/wiki/eine_Rolle_spielen
eine ruhige Kugel schieben	809	809	ruhige Kugel + SCHIEBEN		7	8 -> 7	8	8 -> 8							7	https://de.wiktionary.org/wiki/eine_ruhige_Kugel_schieben
eine Schlange am Busen nähren	810	810	eine Schlange am Busen + nähr		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/eine_Schlange_am_Busen_n%C3%A4hren
eine Schraube locker haben	811	811	eine Schraube locker + HABEN		1	2 -> 1	1	2 -> 1							1	https://de.wiktionary.org/wiki/eine_Schraube_locker_haben
eine schöne Leich	812	812	eine schöne Leich	schöne\w* Leich	0	0	0	0	0	0	0	0			0	https://de.wiktionary.org/wiki/eine_sch%C3%B6ne_Leich
eine sichere Bank sein	813	813	eine sichere Bank + SEIN		8	9 -> 8	8	9 -> 8							8	https://de.wiktionary.org/wiki/eine_sichere_Bank_sein
eine Standpauke halten	814	814	eine Standpauke + HALTEN		3	6 -> 3	3	6 -> 3							3	https://de.wiktionary.org/wiki/eine_Standpauke_halten
eine weiße Weste haben	815	815	eine weiße Weste		4	4	4	4							4	https://de.wiktionary.org/wiki/eine_wei%C3%9Fe_Weste_haben
eine Wissenschaft für sich sein	816	816	eine Wissenschaft + für SICHA + SEIN		5	26 -> 6 -> 5	5	26 -> 6 -> 5							5	https://de.wiktionary.org/wiki/eine_Wissenschaft_f%C3%BCr_sich_sein
einem nackten Mann in die Tasche fassen	817	817	einem nackten Mann + in die Tasche + fass	einem nackten Mann + in die Tasche	1	3 -> 2 -> 1	1	3 -> 2 -> 1	2	3 -> 2	2	3 -> 2			1	https://de.wiktionary.org/wiki/einem_nackten_Mann_in_die_Tasche_fassen
einem nackten Mann in die Tasche greifen	818	818	einem nackten Mann in die Tasche + GREIFEN	einem nackten Mann + in die Tasche	0	1 -> 0	0	1 -> 0	2	3 -> 2	2	3 -> 2			0	https://de.wiktionary.org/wiki/einem_nackten_Mann_in_die_Tasche_greifen
einem Schatten nachjagen	819	819	einem Schatten + \bnach(\b|j|z|g) + jag		0	4 -> 0 -> 0	0	4 -> 0 -> 0							0	https://de.wiktionary.org/wiki/einem_Schatten_nachjagen
einen abbeißen	820	820	einen + \bab(\b|b|z|g) + _BEIẞEN + MANUAL_REVIEW		8	152725 -> 5046 -> 8 -> 8	13	152734 -> 6138 -> 13 -> 13							8	https://de.wiktionary.org/wiki/einen_abbei%C3%9Fen
einen Abflug machen	821	821	einen Abflug + MACHEN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/einen_Abflug_machen
einen Abgang machen	822	822	einen Abgang + MACHEN	Abgang + MACHEN	1	25 -> 1	1	25 -> 1	16	584 -> 16	17	584 -> 17			1	https://de.wiktionary.org/wiki/einen_Abgang_machen
einen abseilen	823	823	einen + \bab(\b|s|z|g) + seil		4	152725 -> 5977 -> 4	14	152734 -> 9045 -> 14							4	https://de.wiktionary.org/wiki/einen_abseilen
einen alten Zopf abschneiden	824	824	einen alten Zopf + \bab(\b|s|z|g) + _SCHNEIDEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/einen_alten_Zopf_abschneiden
einen am Rad haben	825	825	einen am Rad + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_am_Rad_haben
einen an der Klatsche haben	826	826	einen an der Klatsche + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_an_der_Klatsche_haben
einen Ausflug halten	827	827	einen Ausflug + HALTEN		0	80 -> 0	0	80 -> 0							0	https://de.wiktionary.org/wiki/einen_Ausflug_halten
einen Bart haben	828	828	einen Bart + HABEN		11	22 -> 11	12	22 -> 12							11	https://de.wiktionary.org/wiki/einen_Bart_haben
einen Besen fressen	829	829	einen Besen + FRESSEN		0	2 -> 0	0	2 -> 0							0	https://de.wiktionary.org/wiki/einen_Besen_fressen
einen Blick werfen	830	830	einen Blick + WERFEN		337	882 -> 337	402	882 -> 402							337	https://de.wiktionary.org/wiki/einen_Blick_werfen
einen Braten in der Röhre haben	831	831	einen Braten in der Röhre + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_Braten_in_der_R%C3%B6hre_haben
einen Clown gefrühstückt haben	832	832	einen Clown + gefrühstückt + HABEN		0	4 -> 0 -> 0	0	4 -> 0 -> 0							0	https://de.wiktionary.org/wiki/einen_Clown_gefr%C3%BChst%C3%BCckt_haben
einen Dachschaden haben	833	833	einen Dachschaden + HABEN		2	2 -> 2	2	2 -> 2							2	https://de.wiktionary.org/wiki/einen_Dachschaden_haben
einen fahren lassen	834	834	einen fahren + LASSEN		1	2 -> 1	1	2 -> 1							1	https://de.wiktionary.org/wiki/einen_fahren_lassen
einen fahrenlassen	835	835	einen fahrenl + MANUAL_REVIEW		0	0 -> 0	0	0 -> 0					1		1	https://de.wiktionary.org/wiki/einen_fahrenlassen
einen Fleischergang machen	836	836	einen Fleischergang + MACHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_Fleischergang_machen
einen fliegen lassen	837	837	einen fliegen + LASSEN		1	2 -> 1	1	2 -> 1							1	https://de.wiktionary.org/wiki/einen_fliegen_lassen
einen Frosch im Hals haben	838	838	einen Frosch im Hals + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_Frosch_im_Hals_haben
einen Frosch im Halse haben	839	839	einen Frosch im Halse + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_Frosch_im_Halse_haben
einen Gang hochschalten	840	840	einen Gang + \bhoch(\b|s|z|g) + schalt		8	93 -> 8 -> 8	8	93 -> 8 -> 8							8	https://de.wiktionary.org/wiki/einen_Gang_hochschalten
einen grünen Daumen haben	841	841	einen grünen Daumen + HABEN		4	5 -> 4	4	5 -> 4							4	https://de.wiktionary.org/wiki/einen_gr%C3%BCnen_Daumen_haben
einen guten Schnitt machen	842	842	einen guten Schnitt + MACHEN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/einen_guten_Schnitt_machen
einen Hermann machen	843	843	einen Hermann + MACHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_Hermann_machen
