headword	n_manual_sampsize
aus dem Ruder laufen	
aus dem Schneider sein	
aus dem Vollen schöpfen	
aus den Augen verlieren	
aus den Federn	
aus den Fugen gehen	
aus den Fugen geraten	
aus den Latschen kippen	
aus der Art schlagen	
aus der Decke schlagen	
aus der Haut fahren	
aus der Hüfte schießen	
aus der Lamäng	
aus der Portokasse zahlen	
aus der Reihe tanzen	
aus die Maus	
aus einem Furz einen Donnerschlag machen	
aus einer Mücke einen Elefanten machen	
aus etwas Honig saugen	
aus etwas Kleinholz machen	
aus freien Stücken	
aus jemandem Hackfleisch machen	
aus jemandem Kleinholz machen	
aus Scheiße Geld machen	
aus seinem Herzen keine Mördergrube machen	
aus sich heraus	
aus vollem Hals	
aus vollem Halse	
aus voller Brust	
aus voller Kehle	
ausgehen wie das Hornberger Schießen	
Ausnahmen bestätigen die Regel	
Ausschau halten	
aussehen wie das Leiden Christi	
außer Rand und Band geraten	
außer sich sein	
außer Spesen nichts gewesen	
Bacchus huldigen	
bar auf die Hand	
Bauklötze staunen	
Bauklötzer staunen	
Bedenken tragen	
bei Adam und Eva anfangen	
bei Fuß	
bei jemandem abgegessen haben	
bei jemandem auf den Busch klopfen	
bei jemandem einen Stein im Brett haben	
bei jemandem gut Wetter machen	
bei jemandem hat der Staatsanwalt den Finger drauf	
bei jemandem hat der Staatsanwalt noch den Finger drauf	
bei jemandem ist der Groschen gefallen	
bei jemandem ist Schmalhans Küchenmeister	
bei jemandem schrillen die Alarmglocken	all
bei Philippi sehen wir uns wieder	
bei Wasser und Brot sitzen	
bei Wind und Wetter	
beide Hände voll zu tun haben	
beim Kranich zu Gast sein	
bekannt sein wie ein bunter Hund	
bekannt sein wie ein scheckiger Hund	
Berge versetzen können	
Bescheid sagen	
betrunken wie eine Strandhaubitze	
Bilanz ziehen	50
Bindfäden regnen	
bis an die Zähne bewaffnet sein	
bis bald	
bis dann	
bis hierher und nicht weiter	
bis in die Puppen	
bis ins Kleinste	
bis Oberkante Unterlippe	
bis zum Geht-nicht-mehr	
bis zum Gehtnichtmehr	
bis zum Sankt-Nimmerleins-Tag	
bis über beide Ohren verliebt sein	
bis über die Ohren verliebt sein	
bitte schön	
bitten und betteln	
bleich wie der Tod	
blind vor Wut sein	
blind wie ein Maulwurf	
blinde Passagierin	
blinder Passagier	
Blumen sprechen lassen	
Blut lecken	
Blut sehen wollen	
Blut und Wasser schwitzen	
blutenden Herzens	
blühender Unsinn	
Bohnen in den Ohren haben	
breite Brust	
brennen wie ein Luster	
brennen wie Zunder	
brüllen wie am Spieß	
Butter bei die Fische	
Bände sprechen	
bäule gehen	
böhmische Dörfer	
Böses im Schilde führen	
carpe noctem	
ceterum censeo	
Chomez batteln	
Così fan tutte	
da beißt die Maus keinen Faden ab	
da beißt sich die Katze in den Schwanz	
da brat mir einer einen Storch	
da liegt der Hase im Pfeffer	
da liegt der Hund begraben	
da nicht für	
da scheiden sich die Geister	
da wird doch der Hund in der Pfanne verrückt	
dafür nicht	50
daheim ist daheim	
damit ist kein Blumentopf zu gewinnen	
Dampf ablassen	
danke für die Blumen	
danke schön	
dann wollen wir mal	
darauf kann jemand Gift nehmen	
das A und das O	
das A und O	
das Abendmahl auf etwas nehmen	
das Alpha und das Omega	
das Auge des Gesetzes	
das Bett hüten	
das Blaue vom Himmel herunter lügen	
das Blaue vom Himmel versprechen	
das Eis brechen	
das Fass ins Rollen bringen	
das Feld räumen	
das fünfte Rad am Wagen sein	
das Gelbe vom Ei	
das Gelbe vom Ei sein	
das Geld zum Fenster hinauswerfen	
das Genick brechen	
das geringere Übel wählen	
das Gesicht verlieren	
das Gnadenbrot bekommen	
das Gras wachsen hören	
das Grauen hat einen Namen	
das Haar in der Suppe suchen	
das Hackl im Kreuz spüren	
das Hackl im Kreuz stecken haben	
das Handtuch werfen	
das Heft in der Hand halten	
das Herz am rechten Fleck haben	
das Herz auf dem rechten Fleck haben	
das horizontale Gewerbe	
das Huhn, das goldene Eier legt, schlachten	
das ist ein weites Feld	
das Kind beim Namen nennen	
das Kind im Manne	
das Kind mit dem Bade ausschütten	
das kommt davon	
das Kriegsbeil ausgraben	
das Kriegsbeil begraben	
das Leben ist kein Ponyhof	
das Licht der Welt erblicken	
das macht das Kraut auch nicht fett	
das macht das Kraut nicht fett	
das macht den Braten auch nicht fett	
das macht den Kohl auch nicht fett	
das macht den Kohl nicht fett	
das macht nichts	all
das Maß aller Dinge	
das Maß ist voll	
das Maul halten	
das pfeifen die Spatzen von den Dächern	
das Pferd am Schwanz aufzäumen	
das Pferd beim Schwanz aufzäumen	
das Pferd von hinten aufzäumen	
das Rückgrat brechen	
das Sagen haben	
das schleckt keine Geiß weg	
das schwarze Schaf sein	
das sieht doch ein Blinder	
das sieht doch ein Blinder mit dem Krückstock	
das Weite suchen	
das Zeitliche segnen	
das Zeug zu etwas haben	
das Zünglein an der Waage sein	
das älteste Gewerbe der Welt	
das Übel an der Wurzel packen	
dasselbe in Grün	
dastehen wie bestellt und nicht abgeholt	
dastehen wie der Ochse vor dem Scheunentor	
dastehen wie die Kuh vorm neuen Tor	
dein Wort in Gottes Ohr	
dem Bacchus huldigen	
dem Erdboden gleichmachen	
dem Fass den Boden ausschlagen	
dem Fass die Krone ins Gesicht schlagen	
dem lieben Gott den Tag stehlen	
dem lieben Gott die Zeit stehlen	
dem Rotstift zum Opfer fallen	
dem Tod von der Schippe springen	
dem Volk aufs Maul schauen	
den Aal abziehen	
den Abflug machen	
den Abgang machen	
den Amtsschimmel reiten	
den Arsch offen haben	
den Bach runtergehen	
den Ball flach halten	
den Ball unter sich begraben	
den Bock zum Gärtner machen	
den Boden unter den Füßen wegziehen	
den Bogen raushaben	
den Bogen überspannen	
den Braten riechen	
den Bund fürs Leben schließen	
den Faden verlieren	
den Faden wiederfinden	
den Fall setzen	
den Fehdehandschuh aufnehmen	
den Fehdehandschuh hinwerfen	
den Finger am Puls der Zeit haben	
den Finger auf die brennende Wunde legen	
den Finger auf die Wunde legen	
den Geist aufgeben	all
den gordischen Knoten zerschlagen	
den Gürtel enger schnallen	
den Hals aus der Schlinge ziehen	
den Hals nicht vollkriegen	
den Hut nehmen	
den inneren Schweinehund überwinden	
den Kaffee aufhaben	
den Karren aus dem Dreck ziehen	
den Kochlöffel schwingen	
den Kopf aus der Schlinge ziehen	
den Kopf hängen lassen	
den Kopf in den Sand stecken	
den Kopf verlieren	
den Kopf über Wasser halten	
den Kreis eckig kriegen	
den Kürzeren ziehen	
den Laufpass bekommen	
den Laufpass kriegen	
den letzten Atemzug tun	
den lieben Gott einen guten Mann sein lassen	
den längeren Atem haben	
den Löffel abgeben	
den Mond anbellen	
den Nagel auf den Kopf treffen	
den Ochsen hinter den Pflug spannen	
den Pegasus reiten	
den Pflug vor den Ochsen spannen	
den Pflug vor die Ochsen spannen	
den Rest geben	
den richtigen Riecher haben	
den Rubikon überschreiten	
den Rücken kehren	
den Rücken stärken	
den Sabbel halten	
den Sack zumachen	
den Schalk im Nacken haben	
den Schalter umlegen	
den Schein wahren	
den Scherm aufhaben	
den Schlaf der Gerechten schlafen	
den Schlaf des Gerechten schlafen	
den Schleier nehmen	
den Schnabel halten	
den Schoaß in der Finstern schmecken	
den Schwanz einziehen	
den Spieß umdrehen	
den Splitter im fremden Auge, aber nicht den Balken im eigenen sehen	
den Stab über jemanden brechen	
den starken Mann markieren	
den Teufel an die Wand malen	
den Teufel durch Beelzebub austreiben	
den Teufel mit Beelzebub austreiben	
den Tod erleiden	
den Tod finden	
den Vogel abschießen	
den Wald vor lauter Bäumen nicht sehen	
den Weg alles Irdischen gehen	
den Wurm baden	
den Zahn der Zeit treffen	
der Arsch sein	
der Drops ist gelutscht	
der Fisch stinkt immer vom Kopfe her	
der Gefahr ins Auge sehen	
der große Bruder	
der Hecht im Karpfenteich	
der Kelch geht an jemandem vorüber	
der kleine Mann	
der langen Rede kurzer Sinn	
der Liebe keinen Abbruch tun	
der Länge nach	
der Narr muss ein Abzeichen haben	
der Prügelknabe sein	
der Schein trügt	
der Stand der Dinge	
der wahre Jakob	
der Zahn der Zeit	
der Zug ist abgefahren	all
des Wahnsinns fette Beute sein	
dicht an dicht	
dick auftragen	
dicke Luft	
die Abwechslung lieben	
die Arschkarte zeigen	
die Arschkarte ziehen	
die Augen für immer schließen	
die Axt an die Wurzel legen	
die Axt an etwas legen	
die Beine breitmachen	
die Beine in die Hand nehmen	
die Biege machen	
die Bombe platzen lassen	
die Bretter, die die Welt bedeuten	
die Brücken hinter sich abbrechen	
die Bäume wachsen nicht in den Himmel	
die Einschläge kommen näher	
die erste Geige spielen	
die Faxen dick haben	
die Faxen dicke haben	
die Felle wegschwimmen sehen	
die Feste feiern, wie sie fallen	
die Feste feiern, wie sie kommen	
die Finger im Spiel haben	
die Finger von etwas lassen	
die Fliege machen	
die Flinte ins Korn werfen	
die Fresse halten	
die Front wechseln	
die Fäden in der Hand haben	
die Fäden ziehen	
die Führung auf dem Fuß haben	
die Füße unter den Arm nehmen	
die ganze Innung blamieren	
die Gelegenheit beim Schopfe packen	
die grauen Zellen	
die Grätsche machen	
die Herren der Schöpfung	
die Honneurs machen	
die Hosen anhaben	
die Hosen auf halbmast tragen	
die Hosen herunterlassen	
die Hände in den Schoß legen	
die Hände in Unschuld waschen	
die Hölle auf Erden	
die Hülle und Fülle	
die Hüllen fallen lassen	
die Kacke ist am Dampfen	
die kalte Schulter zeigen	
die Katze aus dem Sack lassen	
die Katze im Sack kaufen	
die Kiemen nicht auseinanderkriegen	
die Kirche im Dorf lassen	
die Klappe aufreißen	
die Klappe halten	
die kleinen grauen Zellen	
die Kuh vom Eis bringen	
die Kuh vom Eis führen	
die Kuh vom Eis holen	
die Kuh vom Eis kriegen	
die Kuh vom Eis schieben	
die Kuh vom Eis ziehen	
die Kurve kratzen	
die Latte höher legen	
die Luft aus dem Glas lassen	
die Messe ist gelesen	
die Muskeln spielen lassen	
die Mücke machen	
die Nachhut bilden	
die Nadel im Heuhaufen suchen	
die Nase voll haben	
die Nase vorn haben	
die Nerven liegen blank	
die Nerven verlieren	
die Notbremse ziehen	
die oberen Zehntausend	
die Oberhand gewinnen	
die Ochsen hinter den Pflug spannen	
die Ohren auf Durchzug schalten	
die Ohren hängen lassen	
die Ohren spitzen	
die Ohren steif halten	
die Platte putzen	
die Qual der Wahl haben	
die Radieschen von unten ansehen	
die Radieschen von unten betrachten	
die Ratten verlassen das sinkende Schiff	
die Rechnung ohne den Wirt machen	
die Reißleine ziehen	
die Ruhe vor dem Sturm	
die Runde machen	
die Sache ist die, und der Umstand ist der	
die Sau rauslassen	
die Schafe von den Böcken scheiden	
die Schere im Kopf haben	
die Schiffe hinter sich verbrennen	
die Schnauze halten	
die Schnauze voll haben	
die Schotten dichtmachen	
die Schulbank drücken	
die Schäflein im Trockenen haben	
die Seele baumeln lassen	
die Segel streichen	
die Spendierhosen anhaben	
die Sprache auf etwas bringen	
die Spreu vom Weizen trennen	
die Stecknadel im Heuhaufen suchen	
die Sterne vom Himmel holen wollen	
die Stille vor dem Sturm	
die Stirn bieten	
die Stirn haben	
die Straße abklappern	
die Straße fegen	
die Stunde der Wahrheit	
die Suppe auslöffeln	
die Tafel aufheben	
die Waffen strecken	
die Wahl haben zwischen Pest und Cholera	
die Weichen für etwas stellen	
die Weisheit nicht mit Löffeln gefressen haben	
die Weisheit nicht mit Löffeln gegessen haben	all
die Wogen glätten	
die Wände haben Ohren	
die Würmer baden	
die Zeit totschlagen	
die Zelte abbrechen	
die zweite Geige spielen	
die Zähne zusammenbeißen	
die Ärmel hochkrempeln	
die üblichen Verdächtigen	
dies und das	
dieselbe Couleur in Grün	
dieselbe Sprache sprechen	
dieser Tage	
dieser Zug ist abgefahren	
doppelt gemoppelt hält besser	
doppelt genäht hält besser	
doppelt hält besser	
dos à dos	
Dreck am Stecken haben	
Dreh- und Angelpunkt	
drei Kreuze machen	
dreimal umgezogen ist einmal abgebrannt	
Druck auf der Nille haben	
Druck ausüben	
drunter und drüber	
dumm wie Bohnenstroh	
dumm wie Brot	
dumm wie hundert Meter Feldweg sein	
durch Abwesenheit glänzen	
durch den Kakao ziehen	
durch den Tüdel kommen	
durch die rosarote Brille sehen	
durch Mark und Bein gehen	
durch und durch	
Däumchen drehen	
dümmer sein, als die Polizei erlaubt	
Ei des Columbus	
Ei des Kolumbus	
eierlegende Wollmilchsau	
Eierstöcke in der Hose haben	
eigene vier Wände	
ein Aas auf der Bassgeige sein	
ein abgebrochener Gartenzwerg	
ein abgebrochener Riese	
ein alter Hase sein	
ein alter Hut sein	
ein alter Zopf sein	
ein armes Schwein sein	
ein Ass auf der Bassgeige sein	
ein Auge auf etwas werfen	
ein Auge riskieren	
ein Auge zudrücken	
ein Bad nehmen	
ein Brett vor dem Kopf haben	
ein düsteres Bild zeichnen	
ein Ei legen	all
ein Einsehen haben	
ein Esel in der Löwenhaut	
ein Exempel statuieren	
ein falscher Fuffziger	
ein falsches Spiel spielen	
ein falsches Spiel treiben	
ein Fass aufmachen	
ein Fass ohne Boden sein	
ein Fingerhut	
ein frühes Grab finden	
ein für alle Mal	
ein für alle Mal aus der Welt schaffen	
ein Gedächtnis wie ein Sieb haben	
ein Gemüt wie ein Fleischerhund haben	
ein gerüttelt Maß	
ein Gruß aus der Küche	
ein Haar in der Suppe finden	
ein Haus machen	all
ein heißes Eisen	
ein heißes Eisen anfassen	
ein Herz fassen	
ein Herz und eine Seele sein	
ein Hintertürchen offenhalten	
ein Hirn wie ein Nudelsieb haben	
ein Händchen für etwas haben	
ein Kind des Todes sein	
ein klein wenig	
ein Königreich für ein …	
ein Machtwort sprechen	
ein Mann von Welt	
ein Mann, ein Wort	
ein paar Zerquetschte	
ein Prediger in der Wüste	
ein Rad abhaben	
ein Raub der Flammen werden	
ein Ritt über den Bodensee	
ein Rohr verlegen	
ein rosiges Bild zeichnen	
ein Rufer in der Wüste	
ein Schelm, wer Böses dabei denkt	
ein Schnittlauch auf allen Suppen sein	
